workload,shape_preset,domain,tag,mode,status,elapsed_wall_s,median_ms,p25_ms,p99_ms
llm_layernorm,prefill,llm,elementwise,reduce-overhead,ok,1.026570308022201,0.2825919985771179,0.28166401386260986,0.28486400842666626
llm_layernorm,prefill,llm,reduction,max-autotune,ok,1.0591528880177066,0.2277120053768158,0.22672000527381897,0.2303999960422516
llm_layernorm,prefill,llm,elementwise,max-autotune,ok,1.0591528880177066,0.2277120053768158,0.22672000527381897,0.2303999960422516
llm_layernorm,prefill,llm,reduction,max-autotune-no-cudagraphs,ok,1.089582210057415,0.09574399888515472,0.09532800316810608,0.09705600142478943
llm_layernorm,prefill,llm,elementwise,max-autotune-no-cudagraphs,ok,1.089582210057415,0.09574399888515472,0.09532800316810608,0.09705600142478943
llm_swiglu_mlp,prefill,llm,gemm,eager,ok,1.2432086470071226,3.8681280612945557,3.8545279502868652,4.49556718826294
llm_swiglu_mlp,prefill,llm,elementwise,eager,ok,1.2432086470071226,3.8681280612945557,3.8545279502868652,4.49556718826294
llm_swiglu_mlp,prefill,llm,fused-mlp,eager,ok,1.2432086470071226,3.8681280612945557,3.8545279502868652,4.49556718826294
llm_swiglu_mlp,prefill,llm,gemm,default,ok,1.2251823580591008,3.606495976448059,3.5812079310417175,4.375476503372193
llm_swiglu_mlp,prefill,llm,elementwise,default,ok,1.2251823580591008,3.606495976448059,3.5812079310417175,4.375476503372193
llm_swiglu_mlp,prefill,llm,fused-mlp,default,ok,1.2251823580591008,3.606495976448059,3.5812079310417175,4.375476503372193
llm_swiglu_mlp,prefill,llm,gemm,reduce-overhead,ok,1.1766397949540988,3.721840023994446,3.6921679377555847,4.530516366958619
llm_swiglu_mlp,prefill,llm,elementwise,reduce-overhead,ok,1.1766397949540988,3.721840023994446,3.6921679377555847,4.530516366958619
llm_swiglu_mlp,prefill,llm,fused-mlp,reduce-overhead,ok,1.1766397949540988,3.721840023994446,3.6921679377555847,4.530516366958619
llm_swiglu_mlp,prefill,llm,gemm,max-autotune,ok,1.1774770240299404,3.753119945526123,3.711776077747345,4.578566083908081
llm_swiglu_mlp,prefill,llm,elementwise,max-autotune,ok,1.1774770240299404,3.753119945526123,3.711776077747345,4.578566083908081
llm_swiglu_mlp,prefill,llm,fused-mlp,max-autotune,ok,1.1774770240299404,3.753119945526123,3.711776077747345,4.578566083908081
llm_swiglu_mlp,prefill,llm,gemm,max-autotune-no-cudagraphs,ok,1.2233182680793107,3.4601919651031494,3.4366959929466248,4.548683381080627
llm_swiglu_mlp,prefill,llm,elementwise,max-autotune-no-cudagraphs,ok,1.2233182680793107,3.4601919651031494,3.4366959929466248,4.548683381080627
llm_swiglu_mlp,prefill,llm,fused-mlp,max-autotune-no-cudagraphs,ok,1.2233182680793107,3.4601919651031494,3.4366959929466248,4.548683381080627
llm_gelu_mlp,prefill,llm,gemm,eager,ok,1.172244882909581,2.339408040046692,2.3190081119537354,2.9039039611816406
llm_gelu_mlp,prefill,llm,elementwise,eager,ok,1.172244882909581,2.339408040046692,2.3190081119537354,2.9039039611816406
llm_gelu_mlp,prefill,llm,fused-mlp,eager,ok,1.172244882909581,2.339408040046692,2.3190081119537354,2.9039039611816406
llm_gelu_mlp,prefill,llm,gemm,default,ok,1.144214833038859,2.335616111755371,2.315791964530945,2.885795168876648
llm_gelu_mlp,prefill,llm,elementwise,default,ok,1.144214833038859,2.335616111755371,2.315791964530945,2.885795168876648
llm_gelu_mlp,prefill,llm,fused-mlp,default,ok,1.144214833038859,2.335616111755371,2.315791964530945,2.885795168876648
llm_gelu_mlp,prefill,llm,gemm,reduce-overhead,ok,1.2064652119297534,2.4802560806274414,2.46068799495697,2.941167302131653
llm_gelu_mlp,prefill,llm,elementwise,reduce-overhead,ok,1.2064652119297534,2.4802560806274414,2.46068799495697,2.941167302131653
llm_gelu_mlp,prefill,llm,fused-mlp,reduce-overhead,ok,1.2064652119297534,2.4802560806274414,2.46068799495697,2.941167302131653
llm_gelu_mlp,prefill,llm,gemm,max-autotune,ok,1.2010142569197342,2.469599962234497,2.462752103805542,2.9445823764801027
llm_gelu_mlp,prefill,llm,elementwise,max-autotune,ok,1.2010142569197342,2.469599962234497,2.462752103805542,2.9445823764801027
llm_gelu_mlp,prefill,llm,fused-mlp,max-autotune,ok,1.2010142569197342,2.469599962234497,2.462752103805542,2.9445823764801027
llm_gelu_mlp,prefill,llm,gemm,max-autotune-no-cudagraphs,ok,1.1501070720842108,2.3249919414520264,2.3145439624786377,2.818346872329712
llm_gelu_mlp,prefill,llm,elementwise,max-autotune-no-cudagraphs,ok,1.1501070720842108,2.3249919414520264,2.3145439624786377,2.818346872329712
llm_gelu_mlp,prefill,llm,fused-mlp,max-autotune-no-cudagraphs,ok,1.1501070720842108,2.3249919414520264,2.3145439624786377,2.818346872329712
llm_rope_apply,prefill,llm,elementwise,eager,ok,1.1060437699779868,0.8165119886398315,0.8153840154409409,0.8185295969247819
llm_rope_apply,prefill,llm,indexing,eager,ok,1.1060437699779868,0.8165119886398315,0.8153840154409409,0.8185295969247819
llm_rope_apply,prefill,llm,elementwise,default,ok,0.964847260969691,0.14707200229167938,0.14665600657463074,0.1486400067806244
llm_rope_apply,prefill,llm,indexing,default,ok,0.964847260969691,0.14707200229167938,0.14665600657463074,0.1486400067806244
llm_rope_apply,prefill,llm,elementwise,reduce-overhead,ok,1.0544626049231738,0.2791999876499176,0.2782079875469208,0.28155136227607724
llm_rope_apply,prefill,llm,indexing,reduce-overhead,ok,1.0544626049231738,0.2791999876499176,0.2782079875469208,0.28155136227607724
llm_rope_apply,prefill,llm,elementwise,max-autotune,ok,1.0204237370053306,0.27884799242019653,0.2778880000114441,0.28116480112075803
llm_rope_apply,prefill,llm,indexing,max-autotune,ok,1.0204237370053306,0.27884799242019653,0.2778880000114441,0.28116480112075803
llm_rope_apply,prefill,llm,elementwise,max-autotune-no-cudagraphs,ok,1.0890711670508608,0.14713600277900696,0.1467200070619583,0.14873600006103516
llm_rope_apply,prefill,llm,indexing,max-autotune-no-cudagraphs,ok,1.0890711670508608,0.14713600277900696,0.1467200070619583,0.14873600006103516
llm_logits_projection_softmax,prefill,llm,gemm,eager,ok,1.1866137810284272,10.503535747528076,10.373744010925293,11.05719051361084
llm_logits_projection_softmax,prefill,llm,softmax,eager,ok,1.1866137810284272,10.503535747528076,10.373744010925293,11.05719051361084
llm_logits_projection_softmax,prefill,llm,vocab,eager,ok,1.1866137810284272,10.503535747528076,10.373744010925293,11.05719051361084
llm_logits_projection_softmax,prefill,llm,gemm,default,ok,1.1845574229955673,8.4901762008667,8.339679718017578,10.289696006774902
llm_logits_projection_softmax,prefill,llm,softmax,default,ok,1.1845574229955673,8.4901762008667,8.339679718017578,10.289696006774902
llm_logits_projection_softmax,prefill,llm,vocab,default,ok,1.1845574229955673,8.4901762008667,8.339679718017578,10.289696006774902
llm_logits_projection_softmax,prefill,llm,gemm,reduce-overhead,ok,1.151156075997278,8.790176391601562,8.5872163772583,10.607017707824708
llm_logits_projection_softmax,prefill,llm,softmax,reduce-overhead,ok,1.151156075997278,8.790176391601562,8.5872163772583,10.607017707824708
llm_logits_projection_softmax,prefill,llm,vocab,reduce-overhead,ok,1.151156075997278,8.790176391601562,8.5872163772583,10.607017707824708
llm_logits_projection_softmax,prefill,llm,gemm,max-autotune,ok,1.1679817220428959,8.602656364440918,8.541664123535156,10.497811164855957
llm_logits_projection_softmax,prefill,llm,softmax,max-autotune,ok,1.1679817220428959,8.602656364440918,8.541664123535156,10.497811164855957
llm_logits_projection_softmax,prefill,llm,vocab,max-autotune,ok,1.1679817220428959,8.602656364440918,8.541664123535156,10.497811164855957
llm_logits_projection_softmax,prefill,llm,gemm,max-autotune-no-cudagraphs,ok,1.150765108061023,8.36084794998169,8.283592224121094,10.299606475830078
llm_logits_projection_softmax,prefill,llm,softmax,max-autotune-no-cudagraphs,ok,1.150765108061023,8.36084794998169,8.283592224121094,10.299606475830078
llm_logits_projection_softmax,prefill,llm,vocab,max-autotune-no-cudagraphs,ok,1.150765108061023,8.36084794998169,8.283592224121094,10.299606475830078
llm_topk_sampling_prep,prefill,llm,softmax,eager,ok,1.152333049918525,9.876928329467773,9.875871658325195,9.88150671005249
llm_topk_sampling_prep,prefill,llm,topk,eager,ok,1.152333049918525,9.876928329467773,9.875871658325195,9.88150671005249
llm_topk_sampling_prep,prefill,llm,sampling,eager,ok,1.152333049918525,9.876928329467773,9.875871658325195,9.88150671005249
llm_topk_sampling_prep,prefill,llm,softmax,default,ok,1.1412303888937458,10.098784446716309,10.09763240814209,10.102350006103515
llm_topk_sampling_prep,prefill,llm,topk,default,ok,1.1412303888937458,10.098784446716309,10.09763240814209,10.102350006103515
llm_topk_sampling_prep,prefill,llm,sampling,default,ok,1.1412303888937458,10.098784446716309,10.09763240814209,10.102350006103515
llm_topk_sampling_prep,prefill,llm,softmax,reduce-overhead,ok,1.1609457989688963,11.993616104125977,11.991632223129272,12.000033407211305
llm_topk_sampling_prep,prefill,llm,topk,reduce-overhead,ok,1.1609457989688963,11.993616104125977,11.991632223129272,12.000033407211305
llm_topk_sampling_prep,prefill,llm,sampling,reduce-overhead,ok,1.1609457989688963,11.993616104125977,11.991632223129272,12.000033407211305
llm_topk_sampling_prep,prefill,llm,softmax,max-autotune,ok,1.1643956690095365,11.901439666748047,11.899184226989746,11.910120887756348
llm_topk_sampling_prep,prefill,llm,topk,max-autotune,ok,1.1643956690095365,11.901439666748047,11.899184226989746,11.910120887756348
